file,forced_detection_method,resolved_detection_method,detection_success,usable_scan,quality_status,rejection_reason,binarization_method,benchmark_binarization_mode,overall_score,detection_confidence,sharpness,skew_angle,binarization_score
8.jpg,contour,fallback,0,0,rejected,conf<0.35,otsu_deshadow,otsu_deshadow,64.3,0.1,2493.67,-1.01,59.56
8.jpg,threshold,threshold,1,1,accepted,,otsu_deshadow,otsu_deshadow,76.5,0.872,2397.6,-0.82,62.68
8.jpg,hough,hough,1,1,accepted,,otsu_deshadow,otsu_deshadow,77.5,0.983,3734.06,-0.92,55.63
8.jpg,corners,corners,1,1,accepted,,otsu_deshadow,otsu_deshadow,73.0,0.847,3583.24,-3.01,59.23
9.jpg,contour,contour,1,1,accepted,,otsu_deshadow,otsu_deshadow,77.0,1.0,2080.95,0.0,49.92
9.jpg,threshold,threshold,1,1,accepted,,otsu_deshadow,otsu_deshadow,79.3,1.0,2334.72,0.0,46.09
9.jpg,hough,hough,1,1,accepted,,otsu_deshadow,otsu_deshadow,77.3,0.988,2206.03,1.01,46.11
9.jpg,corners,corners,1,1,accepted,,otsu_deshadow,otsu_deshadow,73.4,0.88,2115.58,0.84,49.93
a01-011x.png,contour,fallback,0,0,rejected,"score<60, conf<0.35, binary<45",otsu_deshadow,otsu_deshadow,50.4,0.1,359.72,0.0,41.11
a01-011x.png,threshold,fallback,0,0,rejected,"score<60, conf<0.35, binary<45",otsu_deshadow,otsu_deshadow,50.4,0.1,359.72,0.0,41.11
a01-011x.png,hough,fallback,0,0,rejected,"score<60, conf<0.35, binary<45",otsu_deshadow,otsu_deshadow,50.4,0.1,359.72,0.0,41.11
a01-011x.png,corners,fallback,0,0,rejected,"score<60, conf<0.35, binary<45",otsu_deshadow,otsu_deshadow,50.4,0.1,359.72,0.0,41.11
a01-014.png,contour,fallback,0,0,rejected,"score<60, conf<0.35",otsu_deshadow,otsu_deshadow,49.8,0.1,287.66,0.0,45.45
a01-014.png,threshold,fallback,0,0,rejected,"score<60, conf<0.35",otsu_deshadow,otsu_deshadow,49.8,0.1,287.66,0.0,45.45
a01-014.png,hough,fallback,0,0,rejected,"score<60, conf<0.35",otsu_deshadow,otsu_deshadow,49.8,0.1,287.66,0.0,45.45
a01-014.png,corners,fallback,0,0,rejected,"score<60, conf<0.35",otsu_deshadow,otsu_deshadow,49.8,0.1,287.66,0.0,45.45
a01-026u.png,contour,fallback,0,0,rejected,"score<60, conf<0.35",otsu_deshadow,otsu_deshadow,52.1,0.1,325.37,0.0,49.57
